pmcid,filename,gold_facts,pred_facts,tp,fp_in_gold,fn,extra_predictions,precision,recall,f1
115849,115849_guided.jsonl,42,16,11,0,31,5,1.0,0.2619047619047619,0.41509433962264153
1475568,1475568_guided.jsonl,52,54,38,8,14,8,0.8260869565217391,0.7307692307692307,0.7755102040816326
1574360,1574360_guided.jsonl,12,8,4,4,8,0,0.5,0.3333333333333333,0.4
1863515,1863515_guided.jsonl,24,21,0,0,24,21,0.0,0.0,0.0
2363753,2363753_guided.jsonl,12,16,10,2,2,4,0.8333333333333334,0.8333333333333334,0.8333333333333334
2430617,2430617_guided.jsonl,10,10,10,0,0,0,1.0,1.0,1.0
2596788,2596788_guided.jsonl,4,6,2,2,2,0,0.5,0.5,0.5
2667135,2667135_guided.jsonl,22,22,19,3,3,0,0.8636363636363636,0.8636363636363636,0.8636363636363636
2836833,2836833_guided.jsonl,8,16,0,8,8,8,0.0,0.0,0.0
2952311,2952311_guided.jsonl,10,30,10,0,0,20,1.0,1.0,1.0
2972614,2972614_guided.jsonl,54,102,36,18,18,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
2974815,2974815_guided.jsonl,10,12,10,0,0,2,1.0,1.0,1.0
3003523,3003523_guided.jsonl,29,25,11,12,18,2,0.4782608695652174,0.3793103448275862,0.4230769230769231
3136370,3136370_guided.jsonl,18,22,2,10,16,0,0.16666666666666666,0.1111111111111111,0.13333333333333333
3169777,3169777_guided.jsonl,34,23,17,5,17,1,0.7727272727272727,0.5,0.6071428571428571
3195393,3195393_guided.jsonl,22,16,14,2,8,0,0.875,0.6363636363636364,0.7368421052631579
3263860,3263860_guided.jsonl,20,20,10,2,10,8,0.8333333333333334,0.5,0.625
3278655,3278655_guided.jsonl,16,14,4,0,12,10,1.0,0.25,0.4
3309311,3309311_guided.jsonl,22,22,22,0,0,0,1.0,1.0,1.0
3321528,3321528_guided.jsonl,14,20,11,3,3,2,0.7857142857142857,0.7857142857142857,0.7857142857142857
3343759,3343759_guided.jsonl,2,22,0,2,2,14,0.0,0.0,0.0
3475525,3475525_guided.jsonl,73,72,71,1,1,0,0.9861111111111112,0.9861111111111112,0.9861111111111112
3493722,3493722_guided.jsonl,18,24,18,0,0,6,1.0,1.0,1.0
3496170,3496170_guided.jsonl,12,4,2,0,10,2,1.0,0.16666666666666666,0.2857142857142857
3504298,3504298_guided.jsonl,10,10,5,1,4,4,0.8333333333333334,0.5555555555555556,0.6666666666666667
3508963,3508963_guided.jsonl,50,46,44,2,6,0,0.9565217391304348,0.88,0.9166666666666666
3510731,3510731_guided.jsonl,16,16,0,0,16,16,0.0,0.0,0.0
3546023,3546023_guided.jsonl,60,60,26,25,25,0,0.5098039215686274,0.5098039215686274,0.5098039215686274
3577738,3577738_guided.jsonl,8,14,0,0,8,14,0.0,0.0,0.0
3648394,3648394_guided.jsonl,36,58,26,10,10,0,0.7222222222222222,0.7222222222222222,0.7222222222222222
3654355,3654355_guided.jsonl,60,60,60,0,0,0,1.0,1.0,1.0
3687098,3687098_guided.jsonl,16,18,8,0,8,8,1.0,0.5,0.6666666666666666
3786549,3786549_guided.jsonl,30,30,30,0,0,0,1.0,1.0,1.0
3877023,3877023_guided.jsonl,48,48,20,11,28,3,0.6451612903225806,0.4166666666666667,0.5063291139240507
3912320,3912320_guided.jsonl,6,5,2,0,4,3,1.0,0.3333333333333333,0.5
3929816,3929816_guided.jsonl,7,16,6,0,1,6,1.0,0.8571428571428571,0.923076923076923
3936115,3936115_guided.jsonl,12,12,8,0,4,4,1.0,0.6666666666666666,0.8
4033571,4033571_guided.jsonl,18,45,5,12,12,3,0.29411764705882354,0.29411764705882354,0.29411764705882354
4132222,4132222_guided.jsonl,4,10,3,1,1,6,0.75,0.75,0.75
4144850,4144850_guided.jsonl,19,32,11,8,8,13,0.5789473684210527,0.5789473684210527,0.5789473684210527
4173437,4173437_guided.jsonl,20,36,20,0,0,8,1.0,1.0,1.0
4183415,4183415_guided.jsonl,18,12,0,6,18,6,0.0,0.0,0.0
4188762,4188762_guided.jsonl,16,8,8,0,8,0,1.0,0.5,0.6666666666666666
4210722,4210722_guided.jsonl,10,4,4,0,6,0,1.0,0.4,0.5714285714285715
4215531,4215531_guided.jsonl,45,36,14,9,31,0,0.6086956521739131,0.3111111111111111,0.411764705882353
4230312,4230312_guided.jsonl,9,9,3,0,6,3,1.0,0.3333333333333333,0.5
4319071,4319071_guided.jsonl,27,51,2,12,25,0,0.14285714285714285,0.07407407407407407,0.0975609756097561
4323894,4323894_guided.jsonl,9,12,5,1,4,6,0.8333333333333334,0.5555555555555556,0.6666666666666667
4355974,4355974_guided.jsonl,24,28,12,8,12,0,0.6,0.5,0.5454545454545454
4357072,4357072_guided.jsonl,20,16,14,2,6,0,0.875,0.7,0.7777777777777777
4411165,4411165_guided.jsonl,18,6,6,0,12,0,1.0,0.3333333333333333,0.5
4458006,4458006_guided.jsonl,4,8,0,0,4,4,0.0,0.0,0.0
4467620,4467620_guided.jsonl,18,23,8,3,10,12,0.7272727272727273,0.4444444444444444,0.5517241379310345
4483334,4483334_guided.jsonl,9,23,0,2,9,21,0.0,0.0,0.0
4486927,4486927_guided.jsonl,16,28,10,6,6,8,0.625,0.625,0.625
4493951,4493951_guided.jsonl,13,12,5,3,8,4,0.625,0.38461538461538464,0.4761904761904762
4511433,4511433_guided.jsonl,3,9,3,0,0,6,1.0,1.0,1.0
4541185,4541185_guided.jsonl,34,30,25,5,9,0,0.8333333333333334,0.7352941176470589,0.78125
4550271,4550271_guided.jsonl,21,18,0,9,21,9,0.0,0.0,0.0
4574984,4574984_guided.jsonl,26,28,16,6,10,2,0.7272727272727273,0.6153846153846154,0.6666666666666667
4675066,4675066_guided.jsonl,18,18,18,0,0,0,1.0,1.0,1.0
4678179,4678179_guided.jsonl,16,10,8,0,8,2,1.0,0.5,0.6666666666666666
4709985,4709985_guided.jsonl,2,4,1,1,1,2,0.5,0.5,0.5
4830045,4830045_guided.jsonl,6,8,4,2,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
4879328,4879328_guided.jsonl,42,28,26,2,16,0,0.9285714285714286,0.6190476190476191,0.742857142857143
4880652,4880652_guided.jsonl,18,20,8,0,10,12,1.0,0.4444444444444444,0.6153846153846153
4928400,4928400_guided.jsonl,32,36,28,4,4,0,0.875,0.875,0.875
4987981,4987981_guided.jsonl,33,78,27,0,6,51,1.0,0.8181818181818182,0.9
4996097,4996097_guided.jsonl,12,6,4,0,8,0,1.0,0.3333333333333333,0.5
5055753,5055753_guided.jsonl,20,20,14,0,6,6,1.0,0.7,0.8235294117647058
5056957,5056957_guided.jsonl,36,28,22,2,14,0,0.9166666666666666,0.6111111111111112,0.7333333333333334
5062234,5062234_guided.jsonl,12,10,10,0,2,0,1.0,0.8333333333333334,0.9090909090909091
5079604,5079604_guided.jsonl,22,23,12,0,10,11,1.0,0.5454545454545454,0.7058823529411764
5086025,5086025_guided.jsonl,34,0,0,0,34,0,0.0,0.0,0.0
5122613,5122613_guided.jsonl,28,28,26,2,2,0,0.9285714285714286,0.9285714285714286,0.9285714285714286
5154016,5154016_guided.jsonl,28,27,25,2,2,0,0.9259259259259259,0.9259259259259259,0.9259259259259259
5268424,5268424_guided.jsonl,6,6,0,0,6,6,0.0,0.0,0.0
5325897,5325897_guided.jsonl,18,18,15,3,3,0,0.8333333333333334,0.8333333333333334,0.8333333333333334
5360580,5360580_guided.jsonl,22,16,6,10,16,0,0.375,0.2727272727272727,0.3157894736842105
5380284,5380284_guided.jsonl,10,16,10,0,0,6,1.0,1.0,1.0
5380326,5380326_guided.jsonl,31,48,15,16,16,5,0.4838709677419355,0.4838709677419355,0.4838709677419355
5419060,5419060_guided.jsonl,88,24,23,1,65,0,0.9583333333333334,0.26136363636363635,0.41071428571428575
5459456,5459456_guided.jsonl,92,4,0,0,92,4,0.0,0.0,0.0
547916,547916_guided.jsonl,6,12,0,0,6,12,0.0,0.0,0.0
5515881,5515881_guided.jsonl,20,30,20,0,0,10,1.0,1.0,1.0
5534041,5534041_guided.jsonl,21,21,13,8,8,0,0.6190476190476191,0.6190476190476191,0.6190476190476191
5539943,5539943_guided.jsonl,0,0,0,0,0,0,0.0,0.0,0.0
5541727,5541727_guided.jsonl,30,54,10,16,20,16,0.38461538461538464,0.3333333333333333,0.3571428571428571
5559992,5559992_guided.jsonl,7,22,3,1,3,6,0.75,0.5,0.6
5571493,5571493_guided.jsonl,21,15,5,10,16,0,0.3333333333333333,0.23809523809523808,0.2777777777777778
5614421,5614421_guided.jsonl,18,22,13,3,5,2,0.8125,0.7222222222222222,0.7647058823529411
5617873,5617873_guided.jsonl,34,34,7,7,27,20,0.5,0.20588235294117646,0.2916666666666667
5655920,5655920_guided.jsonl,11,0,0,0,11,0,0.0,0.0,0.0
5686687,5686687_guided.jsonl,22,26,6,6,16,8,0.5,0.2727272727272727,0.3529411764705882
5711682,5711682_guided.jsonl,22,22,22,0,0,0,1.0,1.0,1.0
5712123,5712123_guided.jsonl,16,33,8,0,8,17,1.0,0.5,0.6666666666666666
5726464,5726464_guided.jsonl,20,26,18,2,2,0,0.9,0.9,0.9
5773985,5773985_guided.jsonl,16,36,16,0,0,20,1.0,1.0,1.0
5777419,5777419_guided.jsonl,30,12,12,0,18,0,1.0,0.4,0.5714285714285715
5777645,5777645_guided.jsonl,14,20,5,2,9,11,0.7142857142857143,0.35714285714285715,0.4761904761904762
5781260,5781260_guided.jsonl,12,0,0,0,12,0,0.0,0.0,0.0
5800236,5800236_guided.jsonl,2,0,0,0,2,0,0.0,0.0,0.0
5830087,5830087_guided.jsonl,12,16,9,3,3,4,0.75,0.75,0.75
5874317,5874317_guided.jsonl,36,36,20,16,16,0,0.5555555555555556,0.5555555555555556,0.5555555555555556
5884950,5884950_guided.jsonl,4,12,0,0,4,10,0.0,0.0,0.0
5971365,5971365_guided.jsonl,24,24,20,4,4,0,0.8333333333333334,0.8333333333333334,0.8333333333333334
5976307,5976307_guided.jsonl,0,34,0,0,0,34,0.0,0.0,0.0
5976949,5976949_guided.jsonl,19,24,18,1,1,2,0.9473684210526315,0.9473684210526315,0.9473684210526315
